Pilot-in-Command,Air Seconds,Above Sea Level (Meters),Drone Type,Takeoff Bat %,Takeoff Volts,Landing Bat %,Landing Volts,Max Altitude (Meters),Total Mileage (Kilometers),Difference Volts
Piloto A,1051,2560.7,Mavic Pro,100,12.399,21,11.052,89.9,0.6,1.3469999999999995
Piloto A,40,1.6,Phantom 3 Advanced,71,15.386,67,15.413,3.7,0.1,-0.027000000000001023
Piloto A,496,281.0,Phantom 4,96,17.088,63,15.174,5.5,0.5,1.9140000000000015
Piloto B,1514,308.9,Mavic Air 2,100,12.963,18,11.038,25.1,0.9,1.924999999999999
Piloto D,155,1635.8,Phantom 3 Advanced,98,17.053,86,15.345,161.1,1.2,1.7080000000000002
Piloto D,237,2558.5,Spark,71,11.929,40,11.036,30.8,0.1,0.8930000000000007
Piloto D,0,0.0,Phantom 3 Advanced,35,14.898,35,14.853,0.0,0.0,0.04499999999999993
Piloto D,218,0.0,Spark,85,12.382,53,11.205,0.0,0.0,1.1769999999999996
Piloto D,475,62.3,Phantom 3 Advanced,97,17.099,64,14.908,79.6,4.0,2.1910000000000007
Piloto A,463,2631.9,Mavic Pro,100,12.855,70,11.674,67.0,0.3,1.181000000000001
Piloto D,186,2577.8,Spark,97,12.721,73,11.673,49.0,0.4,1.048
Piloto A,978,2516.3,Phantom 4,97,16.877,23,14.324,49.7,2.9,2.552999999999999
Piloto D,755,2620.5,Spark,96,12.669,9,10.63,53.2,1.0,2.0389999999999997
Piloto D,781,0.0,Spark,97,12.761,7,10.681,0.0,0.0,2.08
Piloto A,603,2619.3,Spark,98,12.683,17,10.839,11.6,0.2,1.8439999999999994
Piloto B,376,2758.4,Mavic Air 2,96,12.678,75,12.034,23.7,0.2,0.6440000000000001
Piloto B,491,2620.7,Spark,78,12.255,11,10.691,69.0,0.2,1.564
Piloto A,979,2631.8,Mavic Pro,98,12.13,24,10.962,66.7,0.4,1.168000000000001
Piloto A,1122,2632.5,Mavic Pro,100,12.72,12,10.77,64.9,2.1,1.950000000000001
Piloto D,448,2664.6,Phantom 3 Advanced,61,15.613,15,14.048,37.7,0.8,1.5649999999999995
Piloto B,0,0.0,Mavic Air 2,100,12.54,100,12.809,0.0,0.0,-0.26900000000000013
Piloto A,1074,2624.5,Mavic Pro,99,12.779,14,10.817,85.3,3.3,1.9619999999999997
Piloto D,464,333.3,Phantom 3 Advanced,96,17.049,57,14.771,82.8,2.3,2.2779999999999987
Piloto D,0,0.0,Spark,99,12.79,99,12.779,0.0,0.0,0.010999999999999233
Piloto D,518,333.6,Phantom 3 Advanced,100,17.19,53,14.881,217.3,2.4,2.309000000000001
Piloto D,735,36.0,Spark,97,12.732,15,10.767,63.3,1.1,1.9649999999999999
Piloto B,385,2631.8,Mavic Air 2,100,12.627,78,12.004,52.1,1.7,0.6230000000000011
Piloto A,934,2562.8,Phantom 3 Advanced,97,16.789,15,13.878,61.0,3.2,2.9110000000000014
Piloto D,1464,6.3,Matrice 210 RTK V2,99,25.974,19,21.682,132.5,11.1,4.292000000000002
Piloto A,23,2632.1,Mavic Pro,21,10.832,20,10.961,7.1,0.0,-0.12899999999999956
Piloto D,1437,4.9,Matrice 210 RTK V2,98,25.93,9,21.539,130.1,17.8,4.390999999999998
Piloto D,38,2555.9,Phantom 3 Professional,96,16.806,93,14.321,6.4,0.0,2.485000000000001
Piloto D,791,259.8,Phantom 3 Advanced,81,16.314,7,13.878,30.1,0.5,2.436
Piloto D,0,2617.4,Phantom 3 Advanced,95,16.898,95,16.517,0.0,0.0,0.3810000000000002
Piloto D,997,266.7,Phantom 3 Advanced,98,17.106,17,14.188,81.2,6.6,2.918000000000001
Piloto A,598,2544.7,Mavic Pro,59,11.59,14,10.753,60.2,2.5,0.8369999999999997
Piloto A,1027,2631.5,Mavic Pro,99,12.862,27,11.053,51.3,2.2,1.8089999999999993
Piloto D,914,2555.0,Phantom 3 Advanced,100,17.173,13,14.539,42.7,0.6,2.6339999999999986
Piloto D,471,2547.3,Phantom 3 Advanced,63,15.742,21,14.009,84.9,2.3,1.7330000000000005
Piloto D,21,20.9,Spark,85,12.414,83,12.145,0.4,0.0,0.26900000000000013
Piloto D,648,2620.7,Spark,100,12.784,14,10.773,61.5,0.4,2.011000000000001
Piloto B,666,2620.5,Spark,99,12.786,10,10.74,4.2,0.3,2.0459999999999994
Piloto D,0,0.0,Spark,98,12.668,98,12.652,0.0,0.0,0.016000000000000014
Piloto A,949,1520.2,Phantom 3 Advanced,98,17.004,10,13.858,104.0,9.6,3.146000000000001
Piloto A,455,1634.9,Phantom 3 Advanced,99,17.013,66,15.164,116.4,2.0,1.849000000000002
Piloto D,0,0.0,Phantom 3 Advanced,37,14.968,37,14.738,0.0,0.0,0.23000000000000043
Piloto D,91,2561.7,Spark,72,11.894,60,11.354,48.4,0.1,0.5400000000000009
Piloto D,723,2685.7,Phantom 3 Advanced,98,17.063,18,13.989,28.8,3.9,3.073999999999998
Piloto B,599,2560.8,Spark,98,12.665,25,10.86,80.4,0.4,1.8049999999999997
Piloto D,151,2555.8,Phantom 3 Advanced,29,14.343,18,13.624,47.8,0.1,0.7189999999999994
Piloto D,807,292.6,Phantom 3 Advanced,97,17.049,11,13.967,108.2,6.7,3.081999999999999
Piloto B,1412,265.6,Mavic Air 2,100,13.051,24,11.126,21.4,0.8,1.9250000000000007
Piloto D,120,1058.9,Mavic Pro,96,12.653,86,11.784,184.8,0.2,0.8689999999999998
Piloto B,79,2561.5,Spark,20,10.982,8,10.696,0.2,0.0,0.2859999999999996
Piloto D,253,1.5,Phantom 3 Advanced,95,16.968,71,14.699,148.6,2.9,2.269
Piloto D,0,0.0,Phantom 3 Advanced,24,14.782,24,14.736,0.0,0.0,0.045999999999999375
Piloto A,426,2915.8,Spark,96,12.357,45,11.185,35.0,0.2,1.1719999999999988
Piloto D,131,2668.2,Phantom 3 Advanced,31,15.049,17,14.159,0.8,0.1,0.8899999999999988
Piloto B,637,2620.9,Spark,98,12.614,8,10.725,66.4,0.4,1.8890000000000011
Piloto B,1418,2630.0,Mavic Air 2,100,12.721,19,11.014,57.2,2.8,1.7070000000000007
Piloto D,919,985.3,Mavic Pro,100,12.757,40,11.158,251.7,4.2,1.5990000000000002
Piloto D,409,2623.2,Spark,82,12.087,29,10.73,10.6,0.2,1.3569999999999993
Piloto B,693,2620.7,Spark,98,12.56,16,10.625,53.5,0.8,1.9350000000000005
Piloto B,1393,2117.4,Mavic Air 2,100,12.919,20,11.033,31.0,1.5,1.886000000000001
Piloto A,540,134.7,Mavic Pro,56,11.2,18,10.811,65.8,0.3,0.38899999999999935
Piloto D,1242,2555.9,Mavic Air 2,86,12.587,9,10.828,100.5,2.5,1.7590000000000003
Piloto A,687,540.9,Phantom 4,99,17.074,49,14.719,195.3,1.4,2.355000000000002
Piloto A,1077,2632.6,Mavic Pro,100,12.802,19,10.881,66.7,0.1,1.9209999999999994
Piloto C,213,2636.8,Mavic Pro,34,11.17,18,10.934,65.2,0.1,0.23600000000000065
Piloto A,1011,1314.2,Phantom 3 Advanced,99,16.987,19,14.371,328.0,4.3,2.615999999999998
Piloto A,503,5.1,Phantom 3 Advanced,55,15.576,17,14.148,29.2,0.9,1.4280000000000008
Piloto A,0,31.9,Phantom 3 Advanced,69,15.953,69,15.913,0.0,0.0,0.03999999999999915
Piloto A,871,337.9,Phantom 3 Advanced,94,16.749,21,14.073,26.4,4.4,2.6759999999999984
Piloto D,29,2620.4,Spark,98,12.704,94,12.124,9.2,0.0,0.5800000000000001
Piloto A,545,271.0,Phantom 4,55,15.357,16,14.605,4.7,0.1,0.7519999999999989
Piloto A,1072,1788.0,Phantom 3 Advanced,97,16.938,11,13.857,126.1,6.3,3.0809999999999995
Piloto D,1185,2251.6,Mavic Pro,100,12.998,10,10.861,260.2,8.3,2.1369999999999987
Piloto D,1236,2576.2,Mavic Pro,100,12.893,4,10.723,20.4,0.9,2.17
Piloto D,965,1870.7,Phantom 3 Advanced,98,16.965,16,14.085,79.2,2.4,2.879999999999999
Piloto A,619,2620.7,Spark,97,12.431,14,10.755,65.7,0.9,1.6759999999999984
Piloto B,330,1806.7,Mavic Air 2,100,12.657,83,12.169,60.6,0.4,0.48799999999999955
Piloto B,663,2620.5,Spark,100,12.713,12,10.719,66.6,0.8,1.9939999999999998
Piloto D,518,2193.3,Phantom 3 Advanced,60,15.554,10,13.865,44.9,2.8,1.689
Piloto A,685,2594.7,Spark,91,12.693,10,10.742,80.3,1.2,1.9509999999999987
Piloto A,360,2620.4,Mavic Pro,98,12.632,71,11.404,65.0,0.3,1.2279999999999998
Piloto A,700,545.8,Phantom 4,67,15.249,15,14.551,19.6,0.3,0.6980000000000004
Piloto A,65,1338.7,Phantom 4,98,17.013,92,15.983,245.7,0.0,1.0300000000000011
Piloto A,665,2620.9,Spark,98,12.597,9,10.655,61.4,1.0,1.9420000000000002
Piloto B,187,1335.7,Phantom 3 Advanced,31,15.028,16,13.974,91.1,0.9,1.0540000000000003
Piloto D,636,2620.5,Spark,95,12.645,10,10.703,67.0,0.8,1.9420000000000002
Piloto A,178,2620.5,Mavic Pro,100,12.057,87,11.95,17.1,0.1,0.1070000000000011
Piloto D,206,2555.6,Phantom 3 Professional,74,16.139,54,14.396,23.0,0.1,1.7429999999999986
Piloto D,728,6.0,Spark,96,12.73,11,10.796,15.9,0.3,1.934000000000001
Piloto A,711,306.7,Spark,98,12.784,15,10.88,299.9,1.2,1.904
Piloto B,0,2620.5,Phantom 3 Advanced,50,15.062,49,14.9,0.0,0.0,0.16199999999999903
Piloto D,136,256.4,Spark,30,11.195,14,10.698,3.2,0.1,0.4969999999999999
Piloto A,118,29.7,Mavic Pro,94,12.759,87,12.258,12.2,0.2,0.5010000000000012
Piloto D,283,30.6,Phantom 3 Advanced,97,17.145,77,15.276,36.8,2.7,1.8689999999999998
Piloto D,20,4.7,Phantom 3 Advanced,96,16.973,96,15.685,4.8,0.0,1.2879999999999985
Piloto D,769,23.3,Spark,99,12.774,16,10.836,33.4,0.5,1.9379999999999988
Piloto D,29,0.0,Mavic Air 2,86,12.34,84,12.241,0.0,0.0,0.0990000000000002
Piloto D,19,2503.6,Phantom 3 Advanced,91,16.713,90,14.361,85.2,0.0,2.3520000000000003
Piloto D,211,2560.8,Mavic Mini,51,7.659,24,6.883,70.5,0.1,0.7759999999999998
Piloto A,0,188.0,Phantom 4,89,16.802,89,16.749,0.0,0.0,0.053000000000000824
Piloto A,430,542.3,Phantom 4,48,14.719,18,14.344,116.4,0.6,0.375
Piloto A,707,1351.8,Mavic Air 2,54,13.006,11,12.748,52.9,2.0,1.658999999999999
Piloto D,1248,2.7,Phantom 3 Advanced,100,17.135,9,14.472,16.1,1.1,2.663000000000002
Piloto A,703,943.9,Phantom 3 Advanced,100,17.209,51,14.9,82.1,1.1,2.3089999999999993
Piloto A,427,2561.5,Phantom 3 Advanced,82,16.149,30,13.89,72.7,0.4,2.2590000000000003
Piloto A,1275,338.0,Mavic Pro,100,12.928,17,10.881,41.3,1.4,2.0470000000000006
Piloto A,910,1535.9,Phantom 3 Advanced,100,17.114,10,14.057,97.9,11.5,3.0570000000000004
Piloto B,633,2620.8,Spark,99,12.697,7,10.784,47.4,0.2,1.9129999999999985
Piloto D,0,1019.7,Phantom 3 Advanced,55,15.62,55,15.489,0.0,0.0,0.13099999999999845
Piloto D,175,65.2,Phantom 3 Advanced,62,14.894,46,14.569,67.3,1.1,0.3249999999999993
Piloto A,203,31.6,Phantom 3 Advanced,46,14.726,29,14.495,31.8,0.1,0.23100000000000165
Piloto D,59,1334.6,Spark,45,11.563,37,11.041,4.0,0.0,0.5220000000000002
Piloto A,219,2620.6,Mavic Pro,99,12.195,82,11.633,7.9,0.1,0.5620000000000012
Piloto A,877,853.7,Phantom 4,98,16.405,34,14.764,49.0,1.0,1.6410000000000018
Piloto B,302,2643.1,Mavic Air 2,60,11.651,40,11.241,15.8,0.3,0.41000000000000014
Piloto D,762,2307.0,Phantom 3 Advanced,96,16.903,24,14.155,429.5,5.9,2.7479999999999993
Piloto A,178,2621.7,Mavic Pro,97,12.466,83,11.845,6.4,0.0,0.6209999999999987
Piloto D,839,807.7,Phantom 3 Advanced,98,16.854,20,14.179,59.3,0.9,2.674999999999999
Piloto D,1216,55.9,Phantom 3 Advanced,100,17.127,10,14.102,66.3,7.9,3.0249999999999986
Piloto D,1271,6.7,Matrice 210 RTK V2,100,26.017,9,21.504,250.2,14.4,4.512999999999998
Piloto A,336,2553.0,Phantom 4,43,15.111,17,14.371,16.8,0.3,0.7400000000000002
Piloto B,0,2701.6,Mavic Air 2,40,11.344,40,11.389,0.0,0.0,-0.04499999999999993
Piloto D,0,2560.0,Phantom 3 Advanced,51,15.359,51,15.171,0.0,0.0,0.1880000000000006
Piloto A,647,2409.1,Phantom 3 Advanced,100,17.081,46,14.956,317.4,2.4,2.125
Piloto A,52,2594.0,Phantom 3 Advanced,91,16.395,87,14.94,14.5,0.0,1.455
Piloto D,981,54.0,Phantom 3 Advanced,98,17.077,14,14.154,80.6,7.5,2.923000000000002
Piloto D,0,1128.0,Phantom 3 Advanced,44,15.183,44,15.183,0.0,0.0,0.0
Piloto D,374,1.0,Phantom 3 Advanced,98,17.146,70,14.888,30.2,1.3,2.258000000000001
Piloto A,336,2553.0,Phantom 4,98,16.958,73,15.402,3.5,0.4,1.5559999999999992
Piloto D,0,2562.0,Spark,70,12.046,69,12.007,0.0,0.0,0.0389999999999997
Piloto D,280,310.3,Phantom 3 Advanced,41,15.148,16,14.124,59.9,0.8,1.0239999999999991
Piloto B,93,2561.4,Spark,57,11.657,45,11.179,3.9,0.0,0.47799999999999976
Piloto D,777,256.0,Phantom 3 Advanced,96,17.038,31,14.347,80.2,6.1,2.6910000000000007
Piloto B,1314,1176.4,Mavic Air 2,98,12.921,27,11.151,22.5,1.5,1.7699999999999996
Piloto A,647,2619.9,Spark,98,12.494,6,10.587,66.2,0.4,1.907
Piloto A,459,2180.8,Mavic Pro,49,11.393,15,10.837,77.6,0.1,0.5560000000000009
Piloto D,282,788.7,Phantom 3 Advanced,54,14.969,26,14.512,432.3,3.3,0.45699999999999896
Piloto D,919,993.9,Phantom 4,96,16.86,22,14.478,304.7,5.1,2.3819999999999997
Piloto A,513,2560.7,Mavic Pro,62,11.46,23,11.059,65.7,0.2,0.4010000000000016
Piloto A,697,2634.8,Spark,97,12.613,5,10.539,51.6,0.8,2.074
Piloto D,778,7.0,Matrice 210 RTK V2,59,23.822,12,21.859,130.1,5.6,1.9629999999999974
Piloto D,0,1128.2,Phantom 4,94,16.699,94,16.699,0.0,0.0,0.0
Piloto B,186,2589.7,Spark,99,12.777,76,11.585,80.4,0.0,1.1919999999999984
Piloto B,900,2559.9,Mavic Air 2,100,12.819,48,11.366,41.1,0.4,1.4530000000000012
Piloto D,1341,8.0,Matrice 210 RTK V2,97,25.89,10,21.686,150.1,17.1,4.204000000000001
Piloto A,529,793.1,Phantom 3 Advanced,64,15.846,14,14.132,274.4,4.0,1.7140000000000004
Piloto A,464,2555.1,Mavic Pro,100,12.749,68,11.69,102.7,2.2,1.059000000000001
Piloto D,367,2560.8,Spark,56,11.611,11,10.66,83.3,0.1,0.9510000000000005
Piloto A,742,1365.3,Mavic Air 2,55,13.006,11,12.748,131.8,1.8,1.658999999999999
Piloto D,707,2620.8,Spark,98,12.553,3,10.51,58.2,0.3,2.043000000000001
Piloto A,825,1210.7,Phantom 3 Advanced,100,17.107,15,14.044,411.2,8.5,3.062999999999999
Piloto B,47,2548.8,Spark,92,12.349,86,11.923,2.7,0.0,0.42600000000000016
Piloto A,364,2637.1,Mavic Pro,40,11.376,12,11.025,65.3,0.2,0.3509999999999991
Piloto A,0,2563.2,Mavic Air 2,99,12.766,99,12.893,0.0,0.0,-0.12700000000000067
Piloto A,68,0.0,Unknown Type,99,17.29,95,16.323,0.0,0.0,0.9669999999999987
Piloto D,915,1945.0,Phantom 3 Advanced,97,16.928,14,13.958,57.8,3.3,2.9700000000000006
Piloto A,982,2635.1,Phantom 3 Advanced,93,16.645,12,14.183,53.0,0.2,2.4619999999999997
Piloto D,756,2554.5,Phantom 3 Advanced,96,16.794,16,13.912,84.4,7.3,2.8819999999999997
Piloto D,0,1184.6,Phantom 3 Advanced,100,17.119,100,16.911,0.0,0.0,0.2079999999999984
Piloto D,777,2553.8,Phantom 3 Advanced,97,16.868,13,14.219,51.5,4.3,2.648999999999999
Piloto D,639,2620.4,Spark,98,12.623,13,10.652,6.5,0.2,1.971
Piloto B,398,2550.8,Spark,80,12.139,26,10.876,33.9,0.1,1.263
Piloto B,46,272.3,Mavic Air 2,93,12.853,91,12.56,24.7,0.0,0.29299999999999926
Piloto A,0,4.5,Phantom 3 Advanced,100,17.144,100,17.124,0.0,0.0,0.019999999999999574
Piloto B,845,2587.1,Mavic Air 2,100,13.006,52,12.748,50.7,0.7,1.658999999999999
Piloto B,0,1241.8,Mavic Air 2,100,12.607,99,12.798,0.0,0.0,-0.19100000000000072
Piloto A,67,30.7,Phantom 3 Advanced,75,16.058,73,15.06,6.6,0.1,0.9979999999999993
Piloto A,611,2620.6,Spark,93,12.418,11,10.667,48.5,0.2,1.7509999999999994
Piloto D,343,1071.6,Phantom 3 Advanced,76,15.993,41,14.394,7.4,0.1,1.5990000000000002
Piloto D,836,2626.7,Phantom 3 Advanced,97,16.935,15,14.236,123.6,0.3,2.698999999999998
Piloto A,789,337.2,Phantom 3 Advanced,88,15.295,18,14.095,40.6,0.8,1.1999999999999993
Piloto A,0,0.0,Phantom 3 Advanced,97,16.877,97,16.85,0.0,0.0,0.02699999999999747
Piloto B,1020,2646.9,Mavic Air 2,100,12.784,42,11.231,72.5,0.8,1.5530000000000008
Piloto A,994,534.7,Phantom 4,99,16.924,25,14.381,203.8,0.4,2.5429999999999993
Piloto A,1555,2557.9,Mavic Air 2,100,12.784,9,10.852,29.9,0.6,1.9320000000000004
Piloto D,856,1870.6,Phantom 3 Advanced,97,16.962,22,14.124,388.0,4.4,2.837999999999999
Piloto A,0,284.9,Phantom 4,100,16.914,100,16.565,0.0,0.0,0.3490000000000002
Piloto D,363,389.0,Phantom 3 Advanced,50,14.713,17,14.157,217.4,2.2,0.5559999999999992
Piloto D,12,25.4,Phantom 3 Advanced,92,16.827,92,16.591,0.0,0.0,0.23600000000000065
Piloto D,727,2554.5,Spark,96,12.517,10,10.601,53.3,0.1,1.9159999999999986
Piloto A,546,1535.8,Phantom 3 Advanced,65,15.824,22,14.371,112.0,3.5,1.4529999999999994
Piloto A,239,569.2,Phantom 4,54,15.426,17,14.109,176.0,0.2,1.3170000000000002
Piloto B,670,2560.9,Spark,97,12.59,16,10.757,80.3,0.4,1.8330000000000002
Piloto A,1306,2563.2,Mavic Air 2,100,12.884,24,11.089,15.5,0.8,1.795
Piloto B,107,2577.8,Phantom 4,97,17.038,89,15.587,38.2,0.1,1.4510000000000005
Piloto A,625,2562.7,Phantom 4,98,16.947,47,14.714,19.7,0.3,2.2329999999999988
Piloto D,787,53.4,Phantom 3 Advanced,98,17.128,31,14.38,61.2,8.4,2.7479999999999993
Piloto A,230,3267.8,Phantom 3 Advanced,98,17.075,80,15.544,82.3,0.7,1.5309999999999988
Piloto D,946,348.7,Phantom 3 Advanced,98,17.126,12,14.028,100.1,3.7,3.0980000000000008
Piloto D,915,315.4,Phantom 3 Advanced,98,17.131,16,14.177,49.1,2.1,2.9540000000000006
Piloto A,159,1449.0,Mavic Air 2,40,11.338,30,11.12,70.4,0.4,0.21799999999999997
Piloto D,0,2560.8,Spark,56,11.606,56,11.58,0.0,0.0,0.0259999999999998
Piloto B,1462,2629.7,Mavic Air 2,100,13.006,12,12.748,67.1,2.5,1.658999999999999
Piloto D,409,20.0,Phantom 3 Advanced,97,17.074,71,15.244,42.7,2.5,1.8300000000000018
Piloto A,1209,2631.8,Phantom 4,100,17.075,11,14.202,52.0,2.1,2.8729999999999993
Piloto A,34,2631.8,Mavic Pro,99,12.677,96,12.207,10.5,0.0,0.46999999999999886
Piloto A,697,2544.7,Mavic Pro,100,12.819,54,11.333,80.8,1.5,1.4860000000000007
Piloto A,0,2566.9,Phantom 4,98,17.0,98,16.947,0.0,0.0,0.053000000000000824
Piloto A,764,2632.3,Mavic Pro,99,12.101,39,10.927,64.8,0.4,1.1740000000000013
Piloto A,491,2620.5,Spark,99,12.823,40,11.0,60.7,0.2,1.8230000000000004
Piloto A,1159,2558.6,Mavic Air 2,100,12.816,33,11.08,32.7,0.4,1.7360000000000007
Piloto A,1120,2620.3,Mavic Pro,100,12.466,10,10.902,69.2,0.4,1.564
Piloto A,75,2561.2,Phantom 3 Professional,55,15.486,51,14.706,8.8,0.0,0.7800000000000011
Piloto D,0,0.0,Mavic Air 2,52,11.511,51,11.499,0.0,0.0,0.011999999999998678
Piloto D,1404,8.0,Matrice 210 RTK V2,87,25.182,12,21.602,130.1,13.0,3.5799999999999983
Piloto A,183,2546.8,Mavic Pro,87,12.091,74,11.883,70.4,0.0,0.20800000000000018
Piloto B,1372,2646.9,Mavic Air 2,94,12.535,15,10.82,69.7,1.4,1.7149999999999999
Piloto D,0,1.0,Phantom 3 Advanced,98,17.052,98,16.748,0.0,0.0,0.3039999999999985
Piloto A,1105,2634.1,Mavic Pro,100,12.744,15,10.863,15.2,0.2,1.8810000000000002
Piloto C,225,2631.9,Mavic Pro,54,11.46,35,10.811,3.2,0.1,0.6490000000000009
Piloto A,0,2631.7,Mavic Pro,100,12.897,100,12.87,0.0,0.0,0.027000000000001023
Piloto B,612,2643.0,Mavic Air 2,100,12.708,65,11.776,4.8,0.4,0.9320000000000004
Piloto A,484,2620.5,Mavic Pro,99,12.26,62,11.481,67.4,0.2,0.7789999999999999
Piloto B,854,1336.5,Phantom 3 Advanced,94,14.31,16,14.093,96.1,5.3,0.21700000000000053
Piloto A,725,2550.9,Spark,100,12.094,16,10.789,40.2,0.2,1.3049999999999997
Piloto D,0,259.6,Phantom 3 Advanced,81,16.33,81,16.157,0.0,0.0,0.17299999999999827
Piloto B,30,2619.3,Spark,96,12.635,92,12.082,17.3,0.0,0.552999999999999
Piloto D,465,807.0,Phantom 3 Advanced,62,14.698,14,14.024,8.5,0.8,0.6740000000000013
Piloto B,1200,1664.0,Mavic Air 2,91,12.592,20,11.02,222.1,2.6,1.572000000000001
Piloto A,322,2658.9,Mavic Pro,99,12.809,77,11.886,45.0,0.5,0.923
Piloto D,528,253.5,Spark,93,12.497,34,10.763,18.3,0.7,1.734
Piloto A,703,2631.7,Mavic Pro,73,11.914,19,10.854,65.4,0.3,1.0600000000000005
Piloto A,327,302.0,Phantom 4,40,15.195,18,14.309,6.1,0.5,0.886000000000001
Piloto D,875,687.7,Phantom 3 Advanced,93,16.751,10,13.928,173.8,6.3,2.8230000000000004
Piloto D,0,6.0,Spark,98,12.878,98,12.878,0.0,0.0,0.0
Piloto D,42,4.7,Phantom 3 Advanced,96,16.985,94,15.335,97.5,0.2,1.6499999999999986
Piloto D,261,2560.8,Mavic Mini,83,7.97,64,7.521,2.7,0.2,0.44899999999999984
Piloto B,648,2620.8,Spark,96,12.537,14,10.768,55.2,0.8,1.7690000000000001
Piloto A,652,2631.9,Mavic Pro,100,11.886,54,11.437,4.2,0.2,0.44899999999999984
Piloto A,756,2923.5,Spark,98,12.624,9,10.616,87.8,1.5,2.008000000000001
Piloto A,999,2560.3,Mavic Pro,100,12.823,30,11.244,126.0,0.6,1.5790000000000006
Piloto A,495,768.4,Phantom 4,93,15.91,56,15.318,151.5,0.6,0.5920000000000005
Piloto A,816,2636.8,Phantom 4,77,15.229,12,14.299,65.1,0.3,0.9299999999999997
Piloto B,41,2577.8,Phantom 4,85,16.592,82,15.544,33.7,0.0,1.0479999999999983
Piloto A,806,1279.3,Phantom 3 Professional,96,16.87,25,14.364,264.1,2.1,2.5060000000000002
Piloto A,117,1303.0,Mavic Pro,69,11.992,60,11.383,82.2,0.2,0.6090000000000018
Piloto A,1048,317.2,Phantom 3 Professional,100,17.061,14,14.475,69.5,5.0,2.5860000000000003
Piloto A,494,306.3,Spark,99,12.725,46,11.126,213.9,1.3,1.5990000000000002
Piloto A,0,3254.5,Phantom 4,99,16.886,99,16.779,0.0,0.0,0.10699999999999932
Piloto D,686,2620.5,Spark,99,12.78,11,10.669,56.1,0.9,2.110999999999999
Piloto A,330,2594.0,Phantom 3 Advanced,51,15.301,18,14.061,76.8,1.1,1.2400000000000002
Piloto A,1062,1299.0,Phantom 4,100,16.85,22,14.861,183.6,0.8,1.9890000000000008
Piloto A,1007,1529.9,Phantom 3 Advanced,100,17.131,11,13.984,89.9,9.0,3.1470000000000002
Piloto D,855,2715.3,Phantom 3 Advanced,98,16.928,17,14.055,152.1,3.3,2.873000000000001
Piloto D,1124,984.3,Mavic Pro,100,12.888,20,11.091,75.5,0.9,1.7970000000000006
Piloto A,580,2620.3,Spark,97,12.627,16,10.808,16.0,0.2,1.8190000000000008
Piloto D,927,2764.8,Mavic Mini,90,8.049,5,6.893,101.4,4.0,1.1559999999999997
Piloto D,579,1701.4,Phantom 3 Advanced,94,16.874,32,14.202,342.7,3.9,2.671999999999999
Piloto A,1039,31.7,Phantom 3 Advanced,95,15.313,16,14.49,78.3,0.6,0.8230000000000004
Piloto D,261,25.0,Phantom 3 Advanced,100,17.147,80,15.656,148.2,1.2,1.4909999999999979
Piloto D,0,1128.7,Phantom 3 Advanced,43,15.187,43,15.187,0.0,0.0,0.0
Piloto A,0,2562.7,Phantom 4,47,15.252,47,15.225,0.0,0.0,0.027000000000001023
Piloto D,185,1440.0,Phantom 3 Advanced,36,14.366,16,14.184,398.0,1.2,0.18200000000000038
Piloto D,541,1312.8,Spark,78,12.167,9,10.707,9.4,0.2,1.459999999999999
Piloto A,1052,189.0,Phantom 4,100,16.243,20,14.793,120.8,4.4,1.4499999999999993
Piloto A,802,1129.7,Phantom 3 Advanced,98,17.067,18,14.286,500.6,9.7,2.7810000000000006
Piloto D,40,1127.8,Phantom 4,97,16.886,95,15.869,2.1,0.0,1.0169999999999995
Piloto C,1163,2568.1,Mavic Pro,98,12.867,13,10.869,57.4,0.4,1.998000000000001
Piloto D,656,2620.5,Spark,100,12.798,7,10.763,16.3,0.2,2.035
Piloto D,819,2735.1,Phantom 3 Advanced,96,16.903,20,14.087,62.6,3.3,2.815999999999999
Piloto A,981,881.8,Mavic Air 2,100,13.006,49,12.748,142.1,1.7,1.658999999999999
Piloto A,744,1303.0,Mavic Pro,100,12.991,46,11.359,136.6,2.2,1.6319999999999997
Piloto D,0,2561.7,Mavic Pro,100,12.689,100,12.603,0.0,0.0,0.0860000000000003
Piloto A,202,2720.6,Mavic Pro,70,12.072,58,11.578,138.5,0.2,0.4939999999999998
Piloto A,52,2194.1,Phantom 3 Professional,37,14.192,32,14.247,22.9,0.0,-0.054999999999999716
Piloto A,950,2911.3,Phantom 3 Advanced,100,17.034,20,14.518,445.2,4.1,2.5159999999999982
Piloto D,1039,1534.1,Phantom 4,95,16.904,14,14.593,452.0,6.4,2.311
Piloto D,1115,2562.4,Mavic Pro,100,12.561,12,10.89,84.8,3.4,1.6709999999999994
Piloto D,931,1068.4,Phantom 3 Advanced,95,16.948,11,14.002,5.2,1.8,2.9459999999999997
Piloto B,0,0.0,Mavic Air 2,66,13.006,66,12.748,0.0,0.0,1.658999999999999
Piloto D,146,6.0,Spark,29,11.176,11,10.757,4.3,0.0,0.4190000000000005
Piloto A,572,2939.2,Phantom 3 Advanced,76,14.617,18,14.042,82.9,0.9,0.5750000000000011
Piloto B,1447,1241.8,Mavic Air 2,100,12.847,19,11.037,171.8,1.0,1.8099999999999987
Piloto A,568,2542.8,Mavic Pro,100,12.929,64,11.543,48.9,2.1,1.386000000000001
